游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/43148?appid=730&game=csgo&classid=2083599607&instanceid=188530139&assetid=42532785443&contextid=2"", ""摩托手套（★） | *嘣！* (略有磨损)"")",¥ 2500,2025-03-12 21:54:35,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/42811?appid=730&game=csgo&classid=318677630&instanceid=188530139&assetid=42319660851&contextid=2"", ""穿肠刀（★） | 深红之网 (略有磨损)"")",¥ 1185,2025-03-02 23:12:29,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/956638?appid=730&game=csgo&classid=5721082734&instanceid=188530139&assetid=41938191297&contextid=2"", ""AWP | 镀铬大炮 (崭新出厂)"")",¥ 969,2025-02-12 23:44:07,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/956649?appid=730&game=csgo&classid=5721076184&instanceid=188530139&assetid=37602120563&contextid=2"", ""廓尔喀刀（★） | 都市伪装 (略有磨损)"")",¥ 2110,2024-05-08 21:52:02,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/37733?appid=730&game=csgo&classid=3352295839&instanceid=188530139&assetid=36430413389&contextid=2"", ""M4A4（纪念品） | 狂哮飓风 (战痕累累)"")",¥ 35,2024-03-15 21:37:05,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/871459?appid=730&game=csgo&classid=4571609204&instanceid=519977179&assetid=34665687362&contextid=2"", ""MAC-10 | 表面淬火 (战痕累累)"")",¥ 428.88,2023-11-23 17:17:45,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/871459?appid=730&game=csgo&classid=4571609204&instanceid=519977179&assetid=34665526648&contextid=2"", ""MAC-10 | 表面淬火 (战痕累累)"")",¥ 429.46,2023-11-23 16:56:54,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/45428?appid=730&game=csgo&classid=2736629091&instanceid=188530139&assetid=33898998416&contextid=2"", ""驾驶手套（★） | 墨绿色调 (战痕累累)"")",¥ 298.94,2023-10-08 21:48:40,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/42154?appid=730&game=csgo&classid=2316438187&instanceid=6276304101&assetid=33718647636&contextid=2"", ""USP 消音版 | 蓝图 (略有磨损)"")",¥ 66,2023-10-02 16:27:26,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/774712?appid=730&game=csgo&classid=3608084263&instanceid=519977179&assetid=33718103483&contextid=2"", ""海军上尉里克索尔 | 海军水面战中心海豹部队"")",¥ 50.9,2023-10-02 15:58:42,交易成功
