游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/43148?appid=730&game=csgo&classid=2083599607&instanceid=188530139&assetid=43122597470&contextid=2"", ""摩托手套（★） | *嘣！* (略有磨损)"")",¥ 2640,2025-04-08 15:47:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/871595?appid=730&game=csgo&classid=4578725770&instanceid=6276311912&assetid=42620637817&contextid=2"", ""捕兽者（挑衅者） | 游击队"")",¥ 118,2025-03-16 17:11:13,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/836069?appid=730&game=csgo&classid=4141961035&instanceid=1363818004&assetid=42550087510&contextid=2"", ""运动手套（★） | 猩红头巾 (略有磨损)"")",¥ 4667,2025-03-13 11:46:53,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/900522?appid=730&game=csgo&classid=4910471786&instanceid=6740679507&assetid=42166326311&contextid=2"", ""法玛斯 | 喵喵36 (略有磨损)"")",¥ 2,2025-02-23 18:06:22,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40592?appid=730&game=csgo&classid=2577955301&instanceid=6686226306&assetid=41974280781&contextid=2"", ""印花 | 哪咤"")",¥ 3.16,2025-02-14 14:48:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40592?appid=730&game=csgo&classid=2577955301&instanceid=6686226306&assetid=41974280790&contextid=2"", ""印花 | 哪咤"")",¥ 3.16,2025-02-14 14:48:00,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40592?appid=730&game=csgo&classid=2577955301&instanceid=188530139&assetid=41973562268&contextid=2"", ""印花 | 哪咤"")",¥ 3.16,2025-02-14 13:31:20,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40592?appid=730&game=csgo&classid=2577955301&instanceid=0&assetid=41972471429&contextid=2"", ""印花 | 哪咤"")",¥ 3.18,2025-02-14 11:27:32,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/929115?appid=730&game=csgo&classid=5932632268&instanceid=188530139&assetid=37731748649&contextid=2"", ""格洛克 18 型（纪念品） | 拉美西斯之触 (略有磨损)"")",¥ 166,2024-05-14 18:00:44,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/876984?appid=730&game=csgo&classid=6276320478&instanceid=6276332593&assetid=36845860776&contextid=2"", ""加利尔 AR（纪念品） | 警告！ (久经沙场)"")",¥ 108,2024-04-04 15:04:43,交易成功
