饰品,价格,磨损,时间
亚诺（野草）|游击队,64.80,,2025-03-18 23:54:00
蝴蝶刀（★）|人工染色（崭新出厂）,8500.0,0.01664431020617485,2025-02-21 14:02:00
M4A4|赛博（崭新出厂）,346.0,0.057945311069488525,2025-02-13 22:47:05
爪子刀（★） 都市伪装（久经沙场）,4449.9,0.2128038853406906,2025-02-11 18:04:16
摩托手套（★）|交运（略有磨损）,829.5,0.12735342979431152,2024-12-24 16:07:32
挂件|压铸AK,32.8,0.043407320976257324,2024-12-13 11:17:03
挂件|古無丰,10.9,,2024-12-13 11:15:22
运动手套（★）|猩红头巾（略有磨损）,3585.0,0.13858109712600708,2024-12-12 02:01:42
短剑（★）|渐变大理石（略有磨损）,3559.0,0.07983202487230301,2024-12-12 01:53:16
摩托手套（★）|血压（战痕累累）,658.5,0.6702160835266113,2024-09-23 21:21:09
穿肠刀（★）|大马士革钢（略有磨损）,702.0,0.12356270849704742,2024-09-23 21:17:36
捕兽者|游击队,91.99,,2024-09-20 20:54:12
上校曼戈斯·达比西|游击队,99.0,,2024-09-11 16:11:44
中队长鲁沙尔·勒库托|法国宪兵特勤队,79.21,,2024-09-03 19:19:39
残酷的达里尔爵士（沉默）|专业人士,126.5,,2024-08-13 15:09:53
残酷的达里尔爵士（沉默）|专业人士,124.98,,2024-08-11 17:16:08
求生匕首（★）|枯焦之色（略有磨损）,617.9,0.1266736388206482,2024-06-15 20:47:52
残酷的达里尔爵士（沉默）|专业人士,124.0,,2024-06-04 20:31:51
法玛斯（StatTrakTM）|防滚架（略有磨损）,76.57,0.10131945461034775,2024-06-03 18:01:09
纪念品 略磨 格洛克18型（纪念品）|拉美西斯之触（,142.9,0.0902354046702385,2024-05-02 15:38:58
M4A1消音型|简报（崭新出厂）,76.0,0.026234585791826248,2024-04-27 22:12:41
鲍伊猎刀（★）|澄澈之水（崭新出厂）,900.0,0.41634151339530945,2024-04-17 14:09:46
音乐盒（StatTrakTM）|ISOxo－非人类,40.0,,2024-03-04 22:42:00
印花|AZR|2019年柏林锦标赛,10.9,,2024-02-27 01:24:45
系绳匕首（★）|都市伪装（久经沙场）,560.0,0.20347453653812408,2024-01-25 13:38:00
驾驶手套（★）|绯红列赞（久经沙场）,619.0,0.3556033670902252,2023-12-11 15:48:41
专业手套（★）丨一线特工（久经沙场）,2373.48,0.29589441418647766,2023-09-06 14:01:48
海军上尉里克索尔|海军水面战中心海豹,44.5,,2023-07-28 22:47:37
运动手套（★）|猩红头巾（久经沙场）,1780.0,0.3539734184741974,2023-07-28 13:49:33
沙漠之鹰|大佬龙（略有磨损）,120.0,0.10581804811954498,2023-07-28 13:21:15
残酷的达里尔爵士（沉默）|专业人士,81.98,0.09093659371137619,2023-07-27 22:47:43
USP消音版|紫色DDPAT（崭新出厂）,67.78,0.06993597745895386,2023-07-27 22:46:53
残酷的达里尔爵士（沉默）|专业人士,80.8,,2023-07-26 22:48:37
骷髅匕首（★）|夜色（久经沙场）,2330.0,0.248740553855896,2023-07-18 20:29:28
M4A4|反冲精英（崭新出厂）,2650.0,0.05547335743904114,2023-05-23 21:17:44
AK-47|可燃冰（久经沙场）,94.0,0.2159474939107895,2023-04-13 10:39:22
M4A1消音型|暴怒野兽（略有磨损）,337.0,0.11966980248689651,2023-04-13 10:29:11
印花|无限三角（全息）,47.1,,2023-04-13 10:29:11
印花|无限三角（全息）,47.1,,2023-04-13 09:25:47
印花|无限三角（全息）,47.1,,2023-04-13 09:25:47
印花|无限三角（全息）,47.1,,2023-04-13 09:23:00
印花|蓝钻（闪耀）,28.98,,2023-04-13 09:18:07
系绳匕首（★）丨屠夫（崭新出厂）,2398.99,0.03949828818440437,2023-03-30 16:19:06
专业手套（★）|老虎精英（久经沙场）,4180.0,0.30690866708755493,2023-03-30 16:04:43
专业手套（★）|一线特工（久经沙场）,2500.0,0.3526237905025482,2023-03-30 10:44:30
运动手套（★）|夜行衣（略有磨损）,4780.0,0.14417946338653564,2023-03-30 09:44:09
纪念品 USP消音版（纪念品）丨橙红安乐蜥（略,63.89,0.1011340543627739,2023-03-24 10:29:37
音乐盒（StatTrakTM） |BlitzKids-有,141.0,,2023-03-18 12:53:54
海军上尉里克索尔|海军水面战中心海豹,42.52,,2023-02-12 20:25:46
残酷的达里尔爵士（沉默）|专业人士,61.98,,2023-02-12 11:19:50
九头蛇手套（★）|红树林（久经沙场）,303.0,0.16389530897140503,2022-12-05 12:37:20
纪念品 崭新 内格夫（纪念品）|核子废渣（崭新出厂）,15.8,0.06702640652656555,2022-12-04 15:05:24
AK-47|安全网（崭新出厂）,60.0,0.028365803882479668,2022-12-04 14:59:51
纪念品 崭新 USP消音版（纪念品）|紫色DDPATT紧色DDF,34.8,0.049615830183029175,2022-12-04 00:35:39
"音乐盒（StatTrakTM）|Juelz,Shooters",12.0,,2022-11-28 00:51:43
九头蛇手套（★）|红树林（略有磨损）,388.0,0.13525022566318512,2022-10-19 12:40:20
AK-47|夜愿（破损不堪）,114.0,0.08676549792289734,2022-08-17 14:33:03
AK-47|抽象派1337（崭新出厂）,185.0,0.06280194222927094,2022-07-28 22:45:02
